cluster,Ed,E
1,75.43,73.2
1,75.43,69.2
1,75.43,69
1,75.43,69
2,73.66,73.5
2,73.66,72.5
2,73.66,65.5
2,73.66,65.5
3,72.06,71
3,72.06,68
4,72.06,70.5
4,72.06,68.5
4,72.06,67
4,72.06,64.5
4,72.06,63
5,69.09,72
5,69.09,69
5,69.09,68
5,69.09,66.5
5,69.09,62.5
5,69.09,62.5
6,73.72,69.5
7,73.72,76.5
7,73.72,74
7,73.72,73
7,73.72,73
7,73.72,70.5
7,73.72,64
8,72.91,70.5
8,72.91,68
8,72.91,66
9,72.89,66
10,72.37,65.5
11,70.48,74
11,70.48,70
11,70.48,68
11,70.48,67
11,70.48,67
11,70.48,66
11,70.48,63.5
11,70.48,63
12,69.94,65
13,72.68,71
13,72.68,62
14,72.68,68
14,72.68,67
15,72.41,71
15,72.41,70.5
15,72.41,66.7
16,71.6,72
16,71.6,70.5
16,71.6,70.2
16,71.6,70.2
16,71.6,69.2
16,71.6,68.7
16,71.6,66.5
16,71.6,64.5
16,71.6,63.5
17,71.33,74
17,71.33,73
17,71.33,71.5
17,71.33,62.5
17,71.33,66.5
17,71.33,62.3
18,71.06,66
18,71.06,64.5
18,71.06,64
19,70.62,62.7
20,73.61,73.2
20,73.61,73
20,73.61,72.7
20,73.61,70
20,73.61,69
20,73.61,68.5
20,73.61,68
20,73.61,66
21,72.72,73
21,72.72,68.5
21,72.72,68
22,72.18,73
22,72.18,71
22,72.18,67
23,71.1,74.2
23,71.1,70.5
23,71.1,69.5
23,71.1,66
23,71.1,65.5
23,71.1,65
23,71.1,65
24,71.37,65.5
25,70.56,66
25,70.56,63
26,70.02,70.5
26,70.02,70.5
26,70.02,69
26,70.02,65
26,70.02,63
27,70.02,69
27,70.02,67
27,70.02,63
28,70.02,73
28,70.02,67
28,70.02,70.5
28,70.02,70
28,70.02,66.5
28,70.02,63
29,70.54,67.5
29,70.54,67.2
29,70.54,66.7
30,69.48,64
31,69.73,71
31,69.73,70
31,69.73,70
31,69.73,66
31,69.73,65
31,69.73,65
32,69.48,74
32,69.48,72
32,69.48,69
32,69.48,67.5
32,69.48,63.5
33,69.48,72
33,69.48,71.5
33,69.48,71.5
33,69.48,70
33,69.48,68
34,68.94,65.7
35,72.76,78
35,72.76,74
35,72.76,73
35,72.76,72
35,72.76,67
36,71.68,73.2
36,71.68,73
36,71.68,69
36,71.68,67
37,71.14,70
37,71.14,67
37,71.14,67
37,71.14,66.5
38,71.14,70
38,71.14,69
38,71.14,68.5
38,71.14,66
38,71.14,64.5
38,71.14,63
39,71.14,71
39,71.14,67
40,71.14,76
40,71.14,72
40,71.14,71
40,71.14,66
40,71.14,66
41,71.22,70.5
42,70.87,72
42,70.87,72
42,70.87,71
42,70.87,69
42,70.87,66
42,70.87,65
43,71.12,73
43,71.12,65.2
44,70.85,68.5
44,70.85,67.7
45,70.6,68
45,70.6,68
45,70.6,62
46,70.06,68
46,70.06,68
46,70.06,67.5
46,70.06,66.5
46,70.06,66.5
46,70.06,66
46,70.06,65.5
46,70.06,65
47,70.68,72
47,70.68,71
47,70.68,70.5
47,70.68,67
48,70.06,68
48,70.06,68
48,70.06,68
49,70.58,72
49,70.58,71
49,70.58,70
49,70.58,66
49,70.58,64.5
49,70.58,64.5
49,70.58,62
50,70.33,73
50,70.33,62
51,69.62,67.5
51,69.62,64.5
52,69.79,71
52,69.79,67
52,69.79,66
52,69.79,65
52,69.79,63.5
53,69.52,71
53,69.52,70
53,69.52,70
53,69.52,64
53,69.52,65
53,69.52,65
53,69.52,64
53,69.52,63
53,69.52,63
54,69.52,71
54,69.52,71
54,69.52,70
54,69.52,63.5
55,68.98,71
55,68.98,70
55,68.98,64.5
55,68.98,62.5
55,68.98,61.5
56,68.98,72
56,68.98,70.5
56,68.98,70.5
56,68.98,64.5
56,68.98,60
57,69.25,70
57,69.25,64
57,69.25,64
57,69.25,64
57,69.25,62.5
58,68.98,70.5
58,68.98,70
58,68.98,69
58,68.98,69
58,68.98,66
58,68.98,64.5
58,68.98,64
59,68.44,62
60,66.82,71.5
60,66.82,69
61,72.26,71
61,72.26,70
61,72.26,69
61,72.26,69
62,72.26,70
62,72.26,68.7
62,72.26,68
62,72.26,66
62,72.26,64
62,72.26,62
63,71.72,75
64,71.18,70
64,71.18,69
64,71.18,66
64,71.18,64
64,71.18,60
65,71.18,67.5
66,70.91,73
66,70.91,72
66,70.91,72
66,70.91,66.5
66,70.91,69.2
66,70.91,67.2
66,70.91,66.5
66,70.91,66
66,70.91,66
66,70.91,64.2
66,70.91,63.7
67,70.35,72
67,70.35,70.2
67,70.35,69
67,70.35,68.5
68,70.35,68
68,70.35,65
68,70.35,61.5
68,70.35,61
68,70.35,61
69,70.1,73
69,70.1,72
69,70.1,70.5
69,70.1,65
69,70.1,65
69,70.1,64.5
69,70.1,63
69,70.1,62
70,70.1,67
70,70.1,65
70,70.1,64.5
70,70.1,62.5
70,70.1,62.5
71,70.1,70
71,70.1,70
71,70.1,67
71,70.1,65
71,70.1,65
71,70.1,63
72,70.1,79
72,70.1,75
72,70.1,71
72,70.1,69
72,70.1,67
72,70.1,65.7
72,70.1,62
73,70.1,73
73,70.1,72.5
73,70.1,65
74,70.1,69
74,70.1,69
75,69.938,72
75,69.938,70
75,69.938,68.7
75,69.938,66.5
75,69.938,65.5
75,69.938,64.7
75,69.938,64.5
76,69.56,70.7
76,69.56,70
76,69.56,68
76,69.56,67
76,69.56,66
76,69.56,65
76,69.56,67
77,69.56,70
77,69.56,68
77,69.56,66.7
77,69.56,65.5
78,69.668,72
78,69.668,70
78,69.668,62.5
78,69.668,61.2
78,69.668,60.1
79,69.81,74
79,69.81,69.5
79,69.81,69
79,69.81,68
79,69.81,68
79,69.81,68
79,69.81,65.5
79,69.81,65
80,70.08,60
81,69.56,68
81,69.56,65
81,69.56,64
81,69.56,62
82,69.56,71
82,69.56,70
82,69.56,70
82,69.56,70
82,69.56,69.5
82,69.56,68.5
82,69.56,69
82,69.56,65
82,69.56,64
83,69.398,70
83,69.398,67
83,69.398,65.5
83,69.398,63.7
83,69.398,63.2
83,69.398,62.5
83,69.398,62.2
83,69.398,61
84,69.27,70
84,69.27,68.5
84,69.27,65.5
84,69.27,63.5
85,69.27,72.5
85,69.27,69
85,69.27,67
85,69.27,64.5
85,69.27,64
86,69.29,71
86,69.29,67.5
86,69.29,67.5
86,69.29,63.5
87,69.02,68
87,69.02,67
87,69.02,63.7
87,69.02,62
88,69.02,70
88,69.02,66.5
88,69.02,62
88,69.02,61
89,68.73,72
89,68.73,70
89,68.73,69.5
89,68.73,69.5
89,68.73,68
89,68.73,65
89,68.73,64
89,68.73,63
90,69.008,70.7
90,69.008,69.7
90,69.008,69.2
90,69.008,65.2
90,69.008,64
90,69.008,63.5
90,69.008,63.2
91,68.73,72
91,68.73,72
91,68.73,60
92,67.94,71.2
92,67.94,67
93,67.4,67
93,67.4,64.5
93,67.4,65
93,67.4,63
94,67.4,65
94,67.4,65
95,66.59,71.5
95,66.59,64.5
95,66.59,63
96,66.32,72
96,66.32,66
96,66.32,66
96,66.32,65
96,66.32,63
97,71.49,75
97,71.49,71
97,71.49,70
97,71.49,66
97,71.49,66
97,71.49,65.5
97,71.49,65
97,71.49,65
97,71.49,64
97,71.49,64
98,70.68,64
99,70.14,73
99,70.14,72
99,70.14,71.7
99,70.14,71.5
99,70.14,65.5
99,70.14,65
99,70.14,62.7
99,70.14,62.5
100,70.14,71.2
100,70.14,71
100,70.14,70
101,70.518,75
101,70.518,74
101,70.518,72
101,70.518,68.5
102,70.14,70
102,70.14,68.5
102,70.14,68
102,70.14,65
102,70.14,63
102,70.14,62.5
103,70.41,73
103,70.41,71
103,70.41,70.5
103,70.41,70.5
103,70.41,67
103,70.41,66
103,70.41,61
104,70.66,70.5
104,70.66,67.5
104,70.66,64.5
104,70.66,64
105,70.41,71
105,70.41,68.5
105,70.41,67.5
105,70.41,66
105,70.41,63
105,70.41,63
106,70.39,71
106,70.39,71
106,70.39,70.5
106,70.39,70.5
106,70.39,66.5
106,70.39,65.5
106,70.39,64.5
107,70.14,73
107,70.14,72
107,70.14,69
107,70.14,69
107,70.14,66.5
107,70.14,65.5
107,70.14,65.5
107,70.14,65
107,70.14,64
108,69.6,70
108,69.6,68.5
108,69.6,67
108,69.6,65
108,69.6,64
108,69.6,63.5
108,69.6,61
109,69.58,69.7
109,69.58,68
109,69.58,60
109,69.58,65.2
109,69.58,64.5
109,69.58,63.7
109,69.58,60
110,69.16,71.7
110,69.16,66.5
110,69.16,65
110,69.16,63.5
111,68.79,65.5
112,68.52,69
112,68.52,67.5
112,68.52,63.5
113,68.52,72
114,68.52,73
114,68.52,70
114,68.52,70
114,68.52,64
114,68.52,66
114,68.52,62
115,68.79,70.5
115,68.79,67
115,68.79,66
115,68.79,65
115,68.79,63
115,68.79,62
115,68.79,61
116,68.79,70.5
116,68.79,63.7
116,68.79,63
117,68.33,62.5
118,68.23,73
118,68.23,72
118,68.23,69
119,67.98,73
119,67.98,71
119,67.98,71
119,67.98,69
119,67.98,63
120,68.23,72
120,68.23,70
120,68.23,67.8
120,68.23,65.2
120,68.23,64.7
120,68.23,64.5
120,68.23,63.5
120,68.23,63.5
120,68.23,62.5
120,68.23,62
120,68.23,61.5
121,68.25,71
121,68.25,70
121,68.25,70
121,68.25,69
121,68.25,63.5
121,68.25,62.5
121,68.25,62.5
121,68.25,62
122,67.98,72
122,67.98,68
122,67.98,66
122,67.98,66
123,67.69,70
123,67.69,69.5
123,67.69,69
123,67.69,63
123,67.69,62
124,67.44,68
124,67.44,68
124,67.44,67.5
124,67.44,64
124,67.44,63
124,67.44,63
124,67.44,63.5
124,67.44,62
124,67.44,62
125,66.9,70.5
125,66.9,68
125,66.9,62.5
126,66.9,69
126,66.9,66
126,66.9,61.7
126,66.9,60.5
127,67.17,69.5
128,72.42,71
128,72.42,61.7
129,70.43,73
129,70.43,71
129,70.43,67
130,70.16,70
130,70.16,69
130,70.16,69
130,70.16,68.7
130,70.16,68.5
130,70.16,68.5
130,70.16,68
130,70.16,68
130,70.16,68
130,70.16,66.2
130,70.16,63.2
131,69.1,67.5
131,69.1,66
132,69.37,66
132,69.37,64
133,69.37,71.7
133,69.37,71.5
133,69.37,70.7
133,69.37,65.5
133,69.37,66.5
133,69.37,65.2
133,69.37,61.5
134,69.1,72
134,69.1,72
134,69.1,68
134,69.1,66
135,69.35,69.2
135,69.35,68
135,69.35,66
135,69.35,66
135,69.35,62
135,69.35,61.5
135,69.35,61
135,69.35,60
136A,69.35,72
136A,69.35,70.5
136A,69.35,68.7
136A,69.35,68.5
136A,69.35,67.7
136A,69.35,64
136A,69.35,63.5
136A,69.35,63
136,68.56,71
136,68.56,68
136,68.56,68
136,68.56,67
136,68.56,65
136,68.56,64
136,68.56,63
136,68.56,63
136,68.56,62
136,68.56,61
137,68.56,66
137,68.56,63
137,68.56,65.5
137,68.56,62
138,68.56,71.2
138,68.56,71.2
138,68.56,69
138,68.56,68.5
138,68.56,62.5
139,68.83,62
140,68.56,69
140,68.56,67
140,68.56,66
140,68.56,66
140,68.56,66
140,68.56,65
140,68.56,65
140,68.56,65
140,68.56,64
140,68.56,63
141,68.02,70.5
141,68.02,70
141,68.02,68
141,68.02,66
141,68.02,66
141,68.02,66
141,68.02,62
141,68.02,61.5
142,68.54,73.5
142,68.54,70
142,68.54,69.5
142,68.54,65.5
143,68.02,67
144,68.02,70
144,68.02,68
144,68.02,64.5
144,68.02,64
145,68.02,71
145,68.02,68
145,68.02,66
145,68.02,65.5
145,68.02,65
145,68.02,63
145,68.02,62
145,68.02,62
146,68.02,67
146,68.02,67
146,68.02,66
146,68.02,64
146,68.02,63.5
146,68.02,61
147,68.54,68.2
148,68.02,70
149,68.39,70
149,68.39,69
149,68.39,67
149,68.39,65.5
149,68.39,64.5
150,67.75,68.5
151,67.83,67.7
151,67.83,61.7
152,67.75,66.5
153,66.94,68.5
153,66.94,68
153,66.94,64
153,66.94,63.5
153,66.94,63
154,66.508,66.7
155,66.4,64
155,66.4,61
155,66.4,61
155,66.4,60
155,66.4,60
155,66.4,60
155,66.4,56
156,66.4,67.5
156,66.4,67
156,66.4,66.5
156,66.4,60
157,66.11,69
158,65.86,68
158,65.86,65
158,65.86,64.7
158,65.86,64
158,65.86,64
158,65.86,63
158,65.86,65
158,65.86,65
158,65.86,62
158,65.86,61
159,69.248,72.7
159,69.248,72.7
159,69.248,71.5
159,69.248,65.5
159,69.248,63.5
160,69.41,71
161,69.14,73
161,69.14,71
161,69.14,70.7
161,69.14,70
161,69.14,69
161,69.14,68
161,69.14,65.5
161,69.14,62
162,68.6,69.7
162,68.6,67.5
162,68.6,65.5
162,68.6,65
162,68.6,64.5
162,68.6,63.5
163,68.87,70
163,68.87,69
163,68.87,65.5
163,68.87,65.5
163,68.87,63
164,68.87,70
164,68.87,67.7
164,68.87,63
164,68.87,60
165,68.6,65
165,68.6,62
165,68.6,62
166,68.85,71
166,68.85,69
166,68.85,64
166,68.85,64
166,68.85,63
166,68.85,63
166,68.85,63
166,68.85,63
166,68.85,63
166,68.85,62.5
166,68.85,62
167,68.06,71.5
167,68.06,70
167,68.06,67
167,68.06,67
168,67.79,71
168,67.79,70.2
168,67.79,69.2
168,67.79,68.5
168,67.79,68
168,67.79,67
168,67.79,65.5
168,67.79,63.5
169,67.52,69
169,67.52,68
169,67.52,63
170,67.23,70
170,67.23,69.5
170,67.23,69
170,67.23,68.5
170,67.23,66
171,66.44,67
172,69.18,70.5
172,69.18,70.5
172,69.18,67
172,69.18,66
172,69.18,66
172,69.18,62
172,69.18,62
172,69.18,61.5
173,69.18,72
173,69.18,65
173,69.18,65
173,69.18,67
173,69.18,64
173,69.18,64
173,69.18,62
173,69.18,60
173,69.18,60
174,68.64,66
174,68.64,65
174,68.64,67
174,68.64,66.5
174,68.64,65.5
175,68.64,72
175,68.64,68
175,68.64,66
175,68.64,65
175,68.64,62
175,68.64,61
176,68.35,68.7
176,68.35,68.5
176,68.35,66.5
176,68.35,64.5
176,68.35,62.5
176,68.35,60.5
176,68.35,60.5
176,68.35,57.5
177,68.37,72
177,68.37,71
177,68.37,67
177,68.37,66
177,68.37,65
178,67.02,70
179,67.29,64.5
179,67.29,62
180,67.27,67.2
180,67.27,67
180,67.27,65
180,67.27,65
180,67.27,65
180,67.27,63
181,67,70
181,67,68
181,67,63.5
181,67,62.5
181,67,62.5
181,67,62.5
181,67,62.5
182,66.21,70
183,65.4,68
183,65.4,67
183,65.4,65
183,65.4,60
184,65.4,65
185,64.86,68
185,64.86,67
185,64.86,66.5
185,64.86,66
185,64.86,65.7
185,64.86,65.5
185,64.86,65
185,64.86,65
185,64.86,64
185,64.86,63
185,64.86,62
185,64.86,61
185,64.86,60
185,64.86,58
185,64.86,57
186,68.68,66.5
186,68.68,66
186,68.68,66
186,68.68,65
187,68.68,63
188,68.14,63
188,68.14,63
188,68.14,63
188,68.14,60
189,68.14,67
189,68.14,66
189,68.14,65
189,68.14,65
189,68.14,61
190,67.6,69
190,67.6,68
190,67.6,68
190,67.6,65
190,67.6,65
190,67.6,62
190,67.6,62
190,67.6,61
190,67.6,59
191,67.87,70.7
191,67.87,65.5
192,67.6,69.2
192,67.6,69
192,67.6,68
192,67.6,67.7
192,67.6,64.5
192,67.6,60.5
193,67.06,67
193,67.06,67
193,67.06,64
193,67.06,64
193,67.06,62.5
193,67.06,60.5
194,66.52,70
194,66.52,63
195,66.52,66
195,66.52,66
195,66.52,63
196,66.77,71
196,66.77,71
196,66.77,69
196,66.77,63.5
197,65.15,68
197,65.15,68
197,65.15,67
197,65.15,67
197,65.15,62
198,66.56,71.5
198,66.56,68
198,66.56,65.5
198,66.56,64
198,66.56,62
198,66.56,62
198,66.56,61
199,66.56,70.5
199,66.56,68
199,66.56,67
199,66.56,65
199,66.56,64
199,66.56,64
199,66.56,60
200,66.02,64.5
201,64.4,66
201,64.4,60
202,65.79,68.5
202,65.79,63.5
203,66.64,64
203,66.64,62
203,66.64,61
204,65.27,66.5
204,65.27,57
